	Predicted_signature_1	Predicted_signature_2	Predicted_signature_3	Predicted_signature_4	Predicted_signature_5	Predicted_signature_6	
Sample_1	0.0	0.0	0.0	0.79525	0.174211	0.030539	
Sample_2	0.0	0.0	0.0	0.849463	0.150537	0.0	
Sample_3	0.0	0.0	0.0	1.0	0.0	0.0	
Sample_4	0.0	0.0	0.0	1.0	0.0	0.0	
Sample_5	0.0	0.0	0.0	1.0	0.0	0.0	
Sample_6	0.0	0.0	0.0	1.0	0.0	0.0	
Sample_7	0.0	0.0	0.0	1.0	0.0	0.0	
Sample_8	0.0	0.0	0.0	1.0	0.0	0.0	
Sample_9	0.0	0.0	0.0	1.0	0.0	0.0	
Sample_10	0.0	0.0	0.0	1.0	0.0	0.0	
Sample_11	0.0	0.0	0.0	1.0	0.0	0.0	
Sample_12	0.0	0.0	0.0	1.0	0.0	0.0	
Sample_13	0.0	0.372385	0.0	0.627615	0.0	0.0	
Sample_14	1.0	0.0	0.0	0.0	0.0	0.0	
Sample_15	0.645484	0.0	0.0	0.354516	0.0	0.0	
Sample_16	0.0	1.0	0.0	0.0	0.0	0.0	
Sample_17	0.0	1.0	0.0	0.0	0.0	0.0	
Sample_18	0.0	0.773412	0.0	0.226588	0.0	0.0	
Sample_19	0.0	0.0	0.026551	0.0	0.973449	0.0	
Sample_20	0.0	0.0	0.047832	0.0	0.952168	0.0	
Sample_21	0.0	0.0	0.0	0.0	1.0	0.0	
Sample_22	0.0	0.0	0.0	0.0	1.0	0.0	
Sample_23	0.0	0.0	0.0	0.0	1.0	0.0	
Sample_24	0.0	0.0	0.0	0.0	1.0	0.0	
Sample_25	0.0	0.0	1.0	0.0	0.0	0.0	
Sample_26	0.0	0.0	0.0	0.0	0.0	1.0	
Sample_27	0.0	0.0	0.0	0.0	0.0	1.0	
Sample_28	0.0	0.0	0.0	0.0	0.0	1.0	
